Date,Time,測站,傾斜計X,傾斜計Y,雨量計,溫度,電池電壓,TWD97-N,TWD97-E
2024/11/07,08:01:29,2,-2.9474,0.4996,3170,21.45,3.31,2729922.445,291364.012
2024/11/07,08:15:29,2,-2.9476,0.4998,3172,21.45,3.31,2729918.934,291360.063
2024/11/07,08:29:29,2,-2.9475,0.4997,3172,21.55,3.32,2729922.448,291363.984
2024/11/07,09:02:10,2,-2.9466,0.4996,3175,21.95,3.33,2729922.45,291363.997
2024/11/07,09:16:10,2,-2.9466,0.4996,3175,21.95,3.33,2729922.458,291363.989
2024/11/07,09:58:11,2,-2.9434,0.4989,3177,22.45,3.39,2729920.621,291363.278
2024/11/07,10:02:51,2,-2.9433,0.4989,3177,22.56,3.39,2729921.228,291361.824
2024/11/07,10:12:11,2,-2.9424,0.4988,3177,22.45,3.41,2729922.445,291363.995
2024/11/07,10:30:52,2,-2.9401,0.4983,3177,22.76,3.46,2729922.441,291363.957
2024/11/07,10:35:32,2,-2.9392,0.4982,3177,22.66,3.48,2729922.441,291363.973
2024/11/07,10:44:52,2,-2.9383,0.4979,3177,22.66,3.49,2729922.447,291364.004
2024/11/07,10:54:12,2,-2.9367,0.4977,3177,22.66,3.52,2729922.442,291363.994
2024/11/07,11:08:12,2,-2.9381,0.4979,3177,22.66,3.49,2729922.441,291364.021
2024/11/07,11:17:32,2,-2.9393,0.4982,3177,22.56,3.46,2729922.444,291363.978
2024/11/07,11:31:33,2,-2.9401,0.4985,3177,22.66,3.45,2729922.442,291364.016
2024/11/07,11:36:13,2,-2.9401,0.4984,3177,22.97,3.45,2729922.434,291363.991
2024/11/07,11:45:33,2,-2.9403,0.4984,3177,22.87,3.44,2729922.448,291364.005
2024/11/07,11:50:13,2,-2.9405,0.4985,3177,22.97,3.44,2729922.453,291364.018
2024/11/07,12:55:34,2,-2.9408,0.4985,3177,24.03,3.42,2729922.427,291363.987
2024/11/07,13:14:14,2,-2.9412,0.4984,3178,24.47,3.42,2729922.438,291364.017
2024/11/07,14:00:55,2,-2.9414,0.4987,3178,23.93,3.41,2729922.426,291363.993
2024/11/07,14:42:56,2,-2.9411,0.4986,3178,25.03,3.41,2729922.408,291364.003
2024/11/07,14:56:56,2,-2.9415,0.4988,3178,23.93,3.4,2729922.437,291364.04
2024/11/07,15:01:36,2,-2.9413,0.4986,3178,23.71,3.41,2729922.438,291364.035
