里程數,公路編,經度,緯度,E,N,工程處,工務段,日期,縣市別,鄉鎮區,村里,備註
0000K+000,台7線,121.28924500000,24.88453200000,279223.69699999999,2753019.25999999978,一工處,復興工務段,2016/06/23,桃園市,大溪區,福仁里,
0000K+000,台7線,121.28924500000,24.88453200000,279223.69699999999,2753019.25999999978,一工處,復興工務段,2016/06/23,桃園市,大溪區,福仁里,
0000K+500,台7線,121.28898900000,24.88069800000,279198.73300000001,2752594.54699999979,一工處,復興工務段,2016/06/23,桃園市,大溪區,一心里,
0001K+000,台7線,121.29300500000,24.87806500000,279605.12900000002,2752303.78099999996,一工處,復興工務段,2016/06/23,桃園市,大溪區,一心里,
0001K+500,台7線,121.29480800000,24.87477400000,279788.09399999998,2751939.66000000015,一工處,復興工務段,2016/06/23,桃園市,大溪區,一心里,
0002K+000,台7線,121.29357300000,24.87077000000,279664.26199999999,2751495.90400000010,一工處,復興工務段,2016/06/23,桃園市,大溪區,美華里,
0002K+500,台7線,121.29388200000,24.86641800000,279696.52500000002,2751013.93999999994,一工處,復興工務段,2016/06/23,桃園市,大溪區,美華里,
0003K+000,台7線,121.29496100000,24.86204700000,279806.60499999998,2750530.04000000004,一工處,復興工務段,2016/06/23,桃園市,大溪區,美華里,
0003K+500,台7線,121.29457400000,24.85769800000,279768.53899999999,2750048.25700000022,一工處,復興工務段,2016/06/23,桃園市,大溪區,福安里,
0004K+000,台7線,121.29107700000,24.85452600000,279415.89399999997,2749696.16600000020,一工處,復興工務段,2016/06/23,桃園市,大溪區,福安里,
0004K+500,台7線,121.28845700000,24.85070100000,279152.01400000002,2749271.94400000013,一工處,復興工務段,2016/06/23,桃園市,大溪區,福安里,
0005K+000,台7線,121.28505700000,24.84910100000,278808.77299999999,2749094.00400000019,一工處,復興工務段,2016/06/23,桃園市,大溪區,福安里,
0005K+000,台7線,121.28505700000,24.84910100000,278808.77299999999,2749094.00400000019,一工處,復興工務段,2016/06/23,桃園市,大溪區,福安里,
0005K+500,台7線,121.28589300000,24.84476700000,278894.26799999998,2748614.14500000002,一工處,復興工務段,2016/06/23,桃園市,大溪區,福安里,
0005K+500,台7線,121.28589300000,24.84476700000,278894.26799999998,2748614.14500000002,一工處,復興工務段,2016/06/23,桃園市,大溪區,福安里,
0006K+000,台7線,121.28896700000,24.84139100000,279205.74200000003,2748240.87300000014,一工處,復興工務段,2016/06/23,桃園市,大溪區,福安里,
0006K+000,台7線,121.28896700000,24.84139100000,279205.74200000003,2748240.87300000014,一工處,復興工務段,2016/06/23,桃園市,大溪區,福安里,
0006K+500,台7線,121.29358400000,24.83994200000,279672.72700000001,2748081.37800000003,一工處,復興工務段,2016/06/23,桃園市,大溪區,福安里,
0007K+000,台7線,121.29826800000,24.83937600000,280146.28200000001,2748019.71499999985,一工處,復興工務段,2016/06/23,桃園市,大溪區,福安里,
0007K+500,台7線,121.30221700000,24.83722200000,280545.94300000003,2747782.01500000013,一工處,復興工務段,2016/06/23,桃園市,大溪區,福安里,
0008K+000,台7線,121.30438500000,24.83350700000,280765.98900000000,2747371.02799999993,一工處,復興工務段,2016/06/23,桃園市,大溪區,復興里,
0008K+500,台7線,121.30584500000,24.82937200000,280914.58700000000,2746913.36400000006,一工處,復興工務段,2016/06/23,桃園市,大溪區,復興里,
0009K+000,台7線,121.30607900000,24.82592000000,280939.09700000001,2746531.07299999986,一工處,復興工務段,2016/06/23,桃園市,大溪區,復興里,
0009K+500,台7線,121.31057800000,24.82526600000,281394.03300000000,2746459.66300000018,一工處,復興工務段,2016/06/23,桃園市,大溪區,復興里,
